,brown-haired,light brown,blond,red hair,black
woman126photo2,0.16472303206997085,0.3294460641399417,0.34110787172011664,0.11078717201166181,0.05393586005830904
woman126photo3,0.06630824372759857,0.007168458781362007,0.004480286738351254,0.775089605734767,0.14695340501792115
woman126photo6,0.060175054704595186,0.14442013129102846,0.661925601750547,0.07986870897155361,0.053610503282275714
woman126photo7,0.574468085106383,0.1276595744680851,,,0.2978723404255319
woman127photo0,0.0981012658227848,0.05063291139240506,0.012658227848101266,0.7848101265822784,0.05379746835443038
woman128photo0,0.1801962533452275,0.3835860838537021,0.032114183764495985,0.027653880463871544,0.37644959857270294
woman129photo0,0.21222905208670334,0.28049175024263995,0.4933678421222905,,0.013911355548366224
woman129photo4,0.30303030303030304,0.3881118881118881,0.2727272727272727,,0.03613053613053613
woman132photo0,0.03885003885003885,0.14685314685314685,0.7933177933177933,0.001554001554001554,0.019425019425019424
woman132photo1,0.07543103448275862,0.4331896551724138,0.4375,0.017241379310344827,0.036637931034482756
woman133photo1,0.03963666391412056,0.09826589595375723,0.8075970272502064,0.013212221304706853,0.04128819157720892
woman133photo3,0.16,0.27,0.5,0.02,0.05
woman133photo4,0.07291666666666667,0.5442708333333334,0.2552083333333333,0.07291666666666667,0.0546875
